time,signal,baseline_orig,baseline_fixed,corr_orig,corr_fixed
6.466666666666667,-1.1234043,-1.192562983640371,-1.192562983640371,0.06915868364037103,0.06915868364037103
6.483333333333333,-1.1234043,-1.206290594156391,-1.206290594156391,0.08288629415639104,0.08288629415639104
6.5,-1.1234043,-1.222458459461272,-1.222458459461272,0.09905415946127194,0.09905415946127194
6.516666666666667,-1.1234043,-1.2413480136961064,-1.2413480136961064,0.11794371369610634,0.11794371369610634
6.533333333333333,-1.1234043,-1.2632357224011088,-1.2632357224011088,0.1398314224011088,0.1398314224011088
6.55,-1.1234043,-1.2883841408053267,-1.2883841408053267,0.16497984080532668,0.16497984080532668
6.566666666666666,-1.1234043,-1.3170317260388458,-1.3170317260388458,0.19362742603884575,0.19362742603884575
6.583333333333333,-1.1234043,-1.349382264198667,-1.349382264198667,0.225977964198667,0.225977964198667
6.6,-1.1280851,-1.3855940611633384,-1.3855940611633384,0.2575089611633383,0.2575089611633383
6.616666666666666,-1.1280851,-1.4257694646488197,-1.4257694646488197,0.29768436464881964,0.29768436464881964
6.633333333333334,-1.1280851,-1.4699452710906584,-1.4699452710906584,0.34186017109065836,0.34186017109065836
6.65,-1.1280851,-1.5180845882660805,-1.5180845882660805,0.38999948826608044,0.38999948826608044
6.666666666666667,-1.1280851,-1.570070705213782,-1.570070705213782,0.44198560521378183,0.44198560521378183
6.683333333333334,-1.1280851,-1.6257034622581963,-1.6257034622581963,0.4976183622581962,0.4976183622581962
6.7,-1.1280851,-1.6846985162049546,-1.6846985162049546,0.5566134162049545,0.5566134162049545
6.716666666666667,-1.1280851,-1.74668976285598,-1.74668976285598,0.61860466285598,0.61860466285598
6.733333333333333,-1.1280851,-1.8112350180699954,-1.8112350180699954,0.6831499180699954,0.6831499180699954
6.75,-1.1327659,-1.8778248798072439,-1.8778248798072439,0.7450589798072438,0.7450589798072438
6.766666666666667,-1.1327659,-1.945894509314088,-1.945894509314088,0.8131286093140879,0.8131286093140879
6.783333333333333,-1.1327659,-2.014837893399908,-2.014837893399908,0.8820719933999077,0.8820719933999077
6.8,-1.1327659,-2.084023953427823,-2.084023953427823,0.951258053427823,0.951258053427823
6.816666666666666,-1.1327659,-2.152814010952522,-2.152814010952522,1.0200481109525217,1.0200481109525217
6.833333333333333,-1.1327659,-2.2205793408124865,-2.2205793408124865,1.0878134408124864,1.0878134408124864
6.85,-1.1327659,-2.286718513541902,-2.286718513541902,1.1539526135419018,1.1539526135419018
6.866666666666666,-1.1327659,-2.3506734536812606,-2.3506734536812606,1.2179075536812605,1.2179075536812605
6.883333333333334,-1.1327659,-2.4119435626461323,-2.4119435626461323,1.2791776626461322,1.2791776626461322
6.9,-1.1327659,-2.470097313092658,-2.470097313092658,1.337331413092658,1.337331413092658
6.916666666666667,-1.1327659,-2.5247808773247016,-2.5247808773247016,1.3920149773247015,1.3920149773247015
6.933333333333334,-1.1374468,-2.575723530284137,-2.575723530284137,1.438276730284137,1.438276730284137
6.95,-1.1374468,-2.6227397125700236,-2.6227397125700236,1.4852929125700236,1.4852929125700236
6.966666666666667,-1.1374468,-2.6657280853839116,-2.6657280853839116,1.5282812853839116,1.5282812853839116
6.983333333333333,-1.1374468,-2.704667370666025,-2.704667370666025,1.5672205706660252,1.5672205706660252
7.0,-1.1374468,-2.739609902669805,-2.739609902669805,1.6021631026698049,1.6021631026698049
7.016666666666667,-1.1374468,-2.770673115443565,-2.770673115443565,1.633226315443565,1.633226315443565
7.033333333333333,-1.1421276,-2.7980295957787322,-2.7980295957787322,1.6559019957787322,1.6559019957787322
7.05,-1.1421276,-2.8218962875580282,-2.8218962875580282,1.6797686875580282,1.6797686875580282
7.066666666666666,-1.1421276,-2.842523414596996,-2.842523414596996,1.7003958145969962,1.7003958145969962
7.083333333333333,-1.1421276,-2.860183637747849,-2.860183637747849,1.7180560377478489,1.7180560377478489
