time,signal,fit_total,peak_1,peak_2
13.716666666666669,0.023404256,1.0625790244321687e-12,2.1936999025168342e-51,1.0625790244321687e-12
13.733333333333333,0.023404256,8.04551122991734e-13,1.8429677712645558e-51,8.04551122991734e-13
13.75,0.028085107,6.089929599505164e-13,1.5482953123899735e-51,6.089929599505164e-13
13.766666666666667,0.028085107,4.60827884790269e-13,1.3007247452877188e-51,4.60827884790269e-13
13.783333333333331,0.028085107,3.4860585909839785e-13,1.092729235579335e-51,3.4860585909839785e-13
13.8,0.023404256,2.6363413414715907e-13,9.179843787249432e-52,2.6363413414715907e-13
13.816666666666666,0.023404256,1.993155437858047e-13,7.711761658007914e-52,1.993155437858047e-13
13.833333333333334,0.023404256,1.5064502213684098e-13,6.4783960891986914e-52,1.5064502213684098e-13
13.85,0.023404256,1.1382665679353526e-13,5.4422313275631e-52,1.1382665679353526e-13
13.866666666666667,0.018723404,8.598252943263127e-14,4.5717461944102255e-52,8.598252943263127e-14
13.883333333333333,0.018723404,6.493142494551861e-14,3.840456503607062e-52,6.493142494551861e-14
13.9,0.018723404,4.90207039482441e-14,3.2261103996853363e-52,4.90207039482441e-14
13.916666666666666,0.018723404,3.699861226422159e-14,2.7100122029968304e-52,3.699861226422159e-14
13.933333333333334,0.018723404,2.791733593986757e-14,2.2764542451023724e-52,2.791733593986757e-14
13.95,0.018723404,2.105942444711211e-14,1.912239452197383e-52,2.105942444711211e-14
13.966666666666669,0.0140425535,1.5881968442230775e-14,1.6062801865023499e-52,1.5881968442230775e-14
13.983333333333333,0.0140425535,1.1974262141853313e-14,1.3492611685303277e-52,1.1974262141853313e-14
14.0,0.0140425535,9.025703661385278e-15,1.1333562470245712e-52,9.025703661385278e-15
14.016666666666667,0.0140425535,6.801465632889528e-15,9.519904170318588e-53,6.801465632889528e-15
14.033333333333331,0.0140425535,5.124061178167878e-15,7.9963985951501465e-53,5.124061178167878e-15
14.05,0.0140425535,3.859381199744886e-15,6.716639297282393e-53,3.859381199744886e-15
14.066666666666666,0.0140425535,2.906121793680934e-15,5.641639912271384e-53,2.906121793680934e-15
14.083333333333334,0.0140425535,2.187781177426194e-15,4.738648072564914e-53,2.187781177426194e-15
14.1,0.0140425535,1.6466035237791081e-15,3.980148860526512e-53,1.6466035237791081e-15
14.116666666666667,0.0140425535,1.2389974778242438e-15,3.3430275206604026e-53,1.2389974778242438e-15
14.133333333333333,0.0140425535,9.320713158659564e-16,2.8078659870610984e-53,9.320713158659564e-16
14.15,0.0140425535,7.010133688814257e-16,2.358351845952944e-53,7.010133688814257e-16
14.166666666666666,0.0140425535,5.271120872079215e-16,1.9807817681638555e-53,5.271120872079215e-16
