arquivo,pico,tempo_pico,amplitude,sigma,lambda,area
DCS_E523.csv,1,7.77351581527325,2.9232946987129322,0.1110746405278448,1.3734626381546133,2.923294698712766
DCS_E523.csv,2,8.575811978371828,11.425133855423184,0.0919620058674605,5.748008176208687,11.425133855423264
DCS_E523.csv,3,9.519781411409724,14.913379615988518,0.09395269880731512,4.181685343277618,14.913379615988536
DCS_E523.csv,4,10.196472738672488,6.641605081494814,0.18039497606981356,9.999999999999956,6.641605081494824
DCS_E524.csv,1,7.776047301181458,3.041509132405349,0.10929208021486357,1.4807373033585634,3.0415091324053316
DCS_E524.csv,2,8.580614750561516,12.521114453515205,0.09206300937159173,5.77570391732852,12.521114453515231
DCS_E524.csv,3,9.52319572301504,17.58195882204617,0.09364705593105631,4.192876446436637,17.581958822046182
DCS_E524.csv,4,10.19690094828006,7.657979794600524,0.18170617150213614,9.99999999999881,7.657979794600616
DCS_E525.csv,1,7.77280239182816,2.9836535694134625,0.10615379099787338,1.5131470390931276,2.983653569413458
DCS_E525.csv,2,8.57811604330241,12.618826376980739,0.09200568227760833,5.7845952907769655,12.618826376980666
DCS_E525.csv,3,9.52027640617888,18.723076935721444,0.09280110647147007,4.165294642645181,18.72307693572153
DCS_E525.csv,4,10.19228325260836,7.980397078805334,0.18156416359534644,9.999999999999998,7.98039707880533
DCS_E530.csv,1,7.783870946812609,2.16712505124912,0.10651461002762837,2.1167165566095267,2.167125051249122
DCS_E530.csv,2,8.5766773318583,10.832364887646042,0.09210659782594276,5.5910641042147935,10.832364887646106
DCS_E530.csv,3,9.515207030752526,8.26870879192565,0.1029240946021241,4.160539769539289,8.268708791925654
DCS_E530.csv,4,10.225470914877397,3.7665676518068274,0.21546606642932942,9.999999999999998,3.766567651806863
DCS_E531.csv,1,7.7706037347795975,2.87680476375004,0.11124876340410574,1.2759233615092644,2.8768047637486407
DCS_E531.csv,2,8.572343926534334,10.971646751379202,0.09267299850119558,5.592276848337554,10.971646751379199
DCS_E531.csv,3,9.515748649365774,10.786964785134446,0.09754315649840725,4.139991520693892,10.786964785134453
