arquivo,tempo_pico,amplitude,t0,k,theta,area,R2
DCS_E5204.csv,7.15,1.0319223983921268,6.91931851455919,1.98,0.218,1.0317973810821786,0.9613585439298414
DCS_E5204.csv,7.95,1.9292560988152643,7.727231367200223,1.98,0.218,1.9296783786009954,0.9678962003886709
DCS_E5204.csv,8.667,17.718484223438956,8.47065221527351,1.98,0.218,17.7190589699371,0.8582618433206046
DCS_E5204.csv,9.633,21.45462595916402,9.425270117529884,1.98,0.218,21.460319642487843,0.8890351959650498
DCS_E5204.csv,10.283,8.773442410500525,10.043153889494238,1.98,0.218,8.77560976400559,0.908943728307106
DCS_E5204.csv,15.033,0.29807879157066197,14.8108188736297,1.98,0.218,0.2981402802058816,0.9641163157669704
DCS_E5204.csv,18.083,0.07969077435013713,17.84244987936651,1.98,0.218,0.07971163789435717,0.9410981591487564
DCS_E5205.csv,7.15,1.0216012911435386,6.91628669537824,1.98,0.218,1.021134726703679,0.9632495991631763
DCS_E5205.csv,7.933,1.9333527441329141,7.719657365387271,1.98,0.218,1.9332008830065606,0.9742397961336869
DCS_E5205.csv,8.667,17.836904873848642,8.468091346532042,1.98,0.218,17.83163160943258,0.8457841669942858
DCS_E5205.csv,9.633,22.799952438768376,9.422556938484167,1.98,0.218,22.804181667439625,0.876843727085157
DCS_E5205.csv,10.267,9.138357593832929,10.039411468461221,1.98,0.218,9.140151481445882,0.9163317146821032
DCS_E5205.csv,15.017,0.3046514267571609,14.808253473264926,1.98,0.218,0.3047319684521892,0.9664520223318148
DCS_E5205.csv,18.05,0.08634488142901887,17.842074974502776,1.98,0.218,0.08636776388829277,0.937031854885007
DCS_E5206.csv,7.15,1.092698880213084,6.916815148943217,1.98,0.218,1.0921412621531665,0.9630978553867605
DCS_E5206.csv,7.933,2.1051854283419162,7.718727136074299,1.98,0.218,2.104761658040236,0.9867798772531474
DCS_E5206.csv,8.667,19.54757251868773,8.47187461994661,1.98,0.218,19.55030378022133,0.85353793103186
DCS_E5206.csv,9.633,25.924569188879875,9.425930516264224,1.98,0.218,25.93130084249229,0.8800841888108721
DCS_E5206.csv,10.283,10.201453499119637,10.041368649949025,1.98,0.218,10.204129715644545,0.9124557085381768
DCS_E5206.csv,15.017,0.34490927039702957,14.808476047214151,1.98,0.218,0.3450007878767464,0.96288862344284
DCS_E5206.csv,18.067,0.07993458469800799,17.83740672251456,1.98,0.218,0.07993787971073751,0.9226201121988541
DCS_E5207.csv,7.15,1.101018842236719,6.917003602938808,1.98,0.218,1.1004942070452641,0.9605377103182948
DCS_E5207.csv,7.933,2.1476821707340448,7.7167113379810734,1.98,0.218,2.1465455106610873,0.989956961039739
DCS_E5207.csv,8.667,20.025744160073575,8.472400840058672,1.98,0.218,20.029267105036794,0.8546594390558985
DCS_E5207.csv,9.633,27.51552044990807,9.426732628470225,1.98,0.218,27.522101703616286,0.8805861213921994
DCS_E5207.csv,10.283,10.682704164844369,10.042211490778916,1.98,0.218,10.685526726665808,0.9114449608288101
DCS_E5207.csv,15.017,0.3604083434321562,14.808915845690379,1.98,0.218,0.36050346363538116,0.9709755026641232
DCS_E5207.csv,18.067,0.08372665246979712,17.837146251115378,1.98,0.218,0.08372788270166114,0.9104034813082367
DCS_E5208.csv,7.133,1.1469165791900249,6.907509440039074,1.98,0.218,1.1472067589940087,0.9354544978557167
DCS_E5208.csv,7.933,2.247470375225221,7.712530237640714,1.98,0.218,2.2476528345791267,0.9939598365438305
DCS_E5208.csv,8.667,21.059527571217448,8.469775839533014,1.98,0.218,21.058174994358946,0.8460507066051131
DCS_E5208.csv,9.633,29.65272145312109,9.423439671458603,1.98,0.218,29.65952734388706,0.8706782487535497
DCS_E5208.csv,10.267,11.420506862242393,10.038290558177993,1.98,0.218,11.421881365466303,0.9148840980000457
DCS_E5208.csv,15.017,0.38565549240029184,14.807727849900061,1.98,0.218,0.3857548524436224,0.9626248310214708
DCS_E5208.csv,18.067,0.10869789852999905,17.83825773619556,1.98,0.218,0.10871069414641968,0.9324059737165078
DCS_E5209.csv,6.133,0.00033311431496513104,6.543081089485006,1.98,0.218,0.0003331972921946066,-0.3082639410750685
DCS_E5209.csv,7.133,1.1774045679492042,6.9069592926865955,1.98,0.218,1.1776831480320336,0.9253932027020776
DCS_E5209.csv,7.917,2.306363795042475,7.707110121557209,1.98,0.218,2.306921417371298,0.9881243183867493
DCS_E5209.csv,8.667,21.611091571379312,8.470483868207195,1.98,0.218,21.611418795034076,0.8473394719116182
DCS_E5209.csv,9.633,31.074180733576792,9.4233714094,1.98,0.218,31.081226197093383,0.8670262108368183
DCS_E5209.csv,10.267,11.902986302013693,10.039579871276304,1.98,0.218,11.905430377962377,0.9152935962467027
DCS_E5209.csv,15.017,0.3936550133660206,14.803911130035688,1.98,0.218,0.3936648022573968,0.968274496697516
DCS_E5209.csv,18.05,0.0797995058958081,17.82844811444432,1.98,0.218,0.07981104695171183,0.963494163619792
DCS_E5210.csv,7.133,1.0967789365012812,6.9053862812365985,1.98,0.218,1.0969463793215515,0.9417312035417824
DCS_E5210.csv,7.917,2.16445554633017,7.7068400836038045,1.98,0.218,2.164958046713471,0.9909759857173295
DCS_E5210.csv,8.667,22.842645630346908,8.47025260743486,1.98,0.218,22.8424261804004,0.841506645289611
DCS_E5210.csv,9.617,30.825464491732014,9.420956837701942,1.98,0.218,30.82738151314243,0.8572903894998148
DCS_E5210.csv,10.267,11.672497522846509,10.036215694576102,1.98,0.218,11.671424765545778,0.9188898490993336
DCS_E5210.csv,15.017,0.3863280793565566,14.805527059245962,1.98,0.218,0.38639081754527593,0.9647086856220264
DCS_E5210.csv,18.067,0.07528272372744656,17.834013939396222,1.98,0.218,0.07525135216707311,0.8775288507197696
DCS_E5211.csv,6.117,0.0007024250059986543,6.467609334744311,1.98,0.218,0.000702163166178992,-0.20018452512777363
DCS_E5211.csv,7.133,1.1216337222465755,6.905881484961435,1.98,0.218,1.1218411888854516,0.9266700546801812
DCS_E5211.csv,7.917,2.259014717284984,7.705885829389475,1.98,0.218,2.2594331497311937,0.99096886034434
DCS_E5211.csv,8.667,23.186455854629713,8.472486452366608,1.98,0.218,23.19065809406906,0.8530321833806414
DCS_E5211.csv,9.617,31.742348396875112,9.422681731757006,1.98,0.218,31.748467064282558,0.8630005729250001
DCS_E5211.csv,10.267,11.957277318312446,10.036808470462777,1.98,0.218,11.95701582108715,0.9172669827361571
DCS_E5211.csv,15.017,0.3903572805972853,14.805028632666044,1.98,0.218,0.39040646938575096,0.961060683612168
DCS_E5211.csv,18.05,0.07999403835255615,17.83437949995711,1.98,0.218,0.07996557659339143,0.9133118199950617
DCS_E5212.csv,7.133,1.002197683831924,6.9064794848911655,1.98,0.218,1.0024149522882586,0.9273206413377983
DCS_E5212.csv,7.917,2.016544157944864,7.7054980159613375,1.98,0.218,2.0168676611788268,0.9917125896822016
DCS_E5212.csv,8.667,23.536158077168995,8.472962541636377,1.98,0.218,23.541050303995405,0.853955058298283
DCS_E5212.csv,9.617,29.4890656480328,9.422066024237507,1.98,0.218,29.49359486341542,0.8621758910143893
DCS_E5212.csv,10.267,11.074366215250047,10.037138628325785,1.98,0.218,11.074520095749723,0.9162830128476767
DCS_E5212.csv,15.017,0.35274127762799184,14.804087385867255,1.98,0.218,0.3527563064107125,0.9704165754989262
DCS_E5212.csv,18.05,0.07441999981886377,17.833390707595356,1.98,0.218,0.07438078639037862,0.9629462189921177
DCS_E5213.csv,7.133,0.8629252372355186,6.906446955055674,1.98,0.218,0.8631109938842405,0.9371767785817829
DCS_E5213.csv,7.917,1.7725218062134152,7.705310824181546,1.98,0.218,1.7727828549415585,0.9914533531109254
DCS_E5213.csv,8.667,22.432353100032877,8.47208442877024,1.98,0.218,22.435827441288886,0.851963491613272
DCS_E5213.csv,9.633,26.276024790148323,9.423508171445533,1.98,0.218,26.282126478103915,0.8714791361519174
DCS_E5213.csv,10.267,9.852935716952917,10.036956984122234,1.98,0.218,9.852881589674173,0.9140332230491411
DCS_E5213.csv,15.033,0.30917138671701766,14.808604194681955,1.98,0.218,0.30925343515243653,0.9598679753598937
DCS_E5213.csv,18.083,0.17401377373096336,17.841329056777962,1.98,0.218,0.17405933952533825,0.9488847372925215
DCS_E5214.csv,7.133,0.8422570310821187,6.907130704207156,1.98,0.218,0.8424612293302604,0.9132737284057891
DCS_E5214.csv,7.917,1.7959723958303202,7.703376009516419,1.98,0.218,1.7959130189377612,0.99161341503217
DCS_E5214.csv,8.683,24.950784372154782,8.472773795657153,1.98,0.218,24.955722189389906,0.7471190255594249
DCS_E5214.csv,9.633,27.574105090622854,9.42446158445139,1.98,0.218,27.581242535086457,0.8752066383443465
DCS_E5214.csv,10.283,10.164298640827754,10.039855235328336,1.98,0.218,10.166522075190048,0.9118881548087197
DCS_E5214.csv,15.017,0.3115530610232087,14.806312287752224,1.98,0.218,0.3116180786549134,0.9704878121315256
DCS_E5214.csv,18.067,0.07307767440186695,17.83799263996267,1.98,0.218,0.07308465808416585,0.9529013626234082
DCS_E5215.csv,7.133,0.9322420472979284,6.9037373526227865,1.98,0.218,0.93224831716306,0.9266241011962509
DCS_E5215.csv,7.917,2.0168755154130102,7.7013104670502175,1.98,0.218,2.0162432703583923,0.9831815120393961
DCS_E5215.csv,8.683,29.25884290680492,8.478109523386697,1.98,0.218,29.263783108362755,0.7588689905767249
DCS_E5215.csv,9.633,33.82450885921529,9.42526646548783,1.98,0.218,33.833485424508645,0.867301414128245
DCS_E5215.csv,10.283,12.30530942852395,10.041824970958736,1.98,0.218,12.308574804438463,0.9125181632579039
DCS_E5215.csv,15.017,0.35933806311530925,14.806360027023098,1.98,0.218,0.35941390698927667,0.9656057483847914
DCS_E5215.csv,18.067,0.06724371020453897,17.834179316132705,1.98,0.218,0.06721756479175484,0.8973117676404403
DCS_E5216.csv,7.133,0.878287955257849,6.903991279790362,1.98,0.218,0.8783169526546883,0.9104702408228369
DCS_E5216.csv,7.917,1.9852514102961138,7.699488919826451,1.98,0.218,1.9843960707877923,0.9783054651708286
DCS_E5216.csv,8.683,30.854740369360414,8.48068528936673,1.98,0.218,30.852076771987086,0.7691372911692929
DCS_E5216.csv,9.633,32.56291712636416,9.424332595902161,1.98,0.218,32.57126741451585,0.8626819724391562
DCS_E5216.csv,10.283,11.825110471729591,10.041549177071584,1.98,0.218,11.828233471468923,0.912868996244811
DCS_E5216.csv,15.017,0.3168042184387198,14.807120013012328,1.98,0.218,0.31688091574714455,0.9482986136649435
DCS_E5216.csv,18.067,0.0663004274623348,17.84431542088608,1.98,0.218,0.06631351425247194,0.9119085566197873
DCS_E5300.csv,7.133,0.9701481859800125,6.92060741773086,1.98,0.218,0.9701752476829606,0.9284799645423214
DCS_E5300.csv,7.933,1.7527375561772418,7.71714834270497,1.98,0.218,1.7519470272157749,0.9915707055917509
DCS_E5300.csv,8.667,15.106679808169387,8.467969548864078,1.98,0.218,15.101926161988688,0.8539941660031527
DCS_E5300.csv,9.633,9.75043496310809,9.416674908963868,1.98,0.218,9.745209243966825,0.8999579754372348
DCS_E5300.csv,10.317,3.8171839167019805,10.068971775383167,1.98,0.218,3.8165454878615654,0.7691737391147703
DCS_E5300.csv,18.067,0.11290740840686149,17.833453634535402,1.98,0.218,0.11284921236471969,0.7581490391876192
DCS_E5301.csv,7.15,0.9286753926458354,6.922073225836703,1.98,0.218,0.9288184975873806,0.96510748284714
DCS_E5301.csv,7.95,1.634109391395541,7.7283845109801454,1.98,0.218,1.6343535045042437,0.9263228476251386
DCS_E5301.csv,8.667,15.222912366986051,8.463284642433416,1.98,0.218,15.222962271419526,0.8350645003848217
DCS_E5301.csv,9.617,12.893847974958025,9.417688372208172,1.98,0.218,12.889208916470308,0.8825903918315103
DCS_E5301.csv,10.283,6.118319063113627,10.0480030025,1.98,0.218,6.117232633476573,0.9080385849707776
DCS_E5301.csv,15.017,0.21771261187173283,14.805487753603778,1.98,0.218,0.21774738569583996,0.975659316278451
DCS_E5301.csv,18.05,0.09244103920824044,17.83428434656516,1.98,0.218,0.0924067076009245,0.9356177354026798
DCS_E5303.csv,6.1,0.0006870406605107085,6.4622467850181335,1.98,0.218,0.0006871140441777091,-0.1990069368413232
DCS_E5303.csv,7.117,0.9232036663434875,6.887867575532374,1.98,0.218,0.9232817571108352,0.939792219614851
