arquivo,tempo_pico,amplitude,t0,k,theta,area
DCS_E5201.csv,8.67,13.190344255534551,8.216666666666667,7.141042596532532,0.07865269093443075,13.190344255519676
DCS_E5201.csv,9.63,11.311630278857471,9.183333333333334,7.141042596532532,0.07865269093443075,11.311630278844714
DCS_E5201.csv,10.28,5.433122413055514,9.833333333333332,7.141042596532532,0.07865269093443075,5.433122413049385
DCS_E5201.csv,15.03,0.1888083000935986,14.583333333333334,7.141042596532532,0.07865269093443075,0.18880830009338564
DCS_E5201.csv,18.08,0.07049806309884249,17.63333333333338,7.141042596532532,0.07865269093443075,0.07049806309876298
DCS_E5202.csv,7.15,0.8209176495863407,6.700000000000001,7.141042596532532,0.07865269093443075,0.8209176495854147
DCS_E5202.csv,7.97,1.504564604172665,7.5166666666666675,7.141042596532532,0.07865269093443075,1.5045646041709675
DCS_E5202.csv,8.67,13.546336515038357,8.216666666666667,7.141042596532532,0.07865269093443075,13.546336515023079
DCS_E5202.csv,9.63,13.51518403419275,9.183333333333334,7.141042596532532,0.07865269093443075,13.515184034177508
DCS_E5202.csv,10.28,6.120961916214901,9.833333333333332,7.141042596532532,0.07865269093443075,6.120961916207997
DCS_E5202.csv,15.02,0.21094943563618568,14.566666666666684,7.141042596532532,0.07865269093443075,0.2109494356359477
DCS_E5202.csv,18.07,0.06971982469543465,17.616666666666667,7.141042596532532,0.07865269093443075,0.06971982469535602
DCS_E5203.csv,7.15,0.8255193485228957,6.700000000000002,7.141042596532532,0.07865269093443075,0.8255193485219644
DCS_E5203.csv,7.95,1.5211255304038327,7.500000000000001,7.141042596532532,0.07865269093443075,1.5211255304021167
DCS_E5203.csv,8.67,13.70716209637937,8.216666666666667,7.141042596532532,0.07865269093443075,13.70716209636391
DCS_E5203.csv,9.63,15.62713431922341,9.183333333333334,7.141042596532532,0.07865269093443075,15.627134319205785
DCS_E5203.csv,10.28,6.69827973237927,9.833333333333332,7.141042596532532,0.07865269093443075,6.698279732371715
DCS_E5203.csv,15.03,0.2363732818023917,14.583333333333336,7.141042596532532,0.07865269093443075,0.23637328180212505
DCS_E5203.csv,18.05,0.07136460987448306,17.600000000000257,7.141042596532532,0.07865269093443075,0.07136460987440257
DCS_E5204.csv,7.15,0.8956915742455377,6.700000000000001,7.141042596532532,0.07865269093443075,0.8956915742445275
DCS_E5204.csv,7.95,1.6754238419991154,7.500000000000001,7.141042596532532,0.07865269093443075,1.6754238419972258
DCS_E5204.csv,8.67,15.00662544682069,8.216666666666667,7.141042596532532,0.07865269093443075,15.006625446803763
DCS_E5204.csv,9.63,18.43562136151323,9.183333333333334,7.141042596532532,0.07865269093443075,18.435621361492434
DCS_E5204.csv,10.28,7.686266473016965,9.833333333333332,7.141042596532532,0.07865269093443075,7.6862664730082955
DCS_E5204.csv,15.03,0.2593538557576172,14.583333333333346,7.141042596532532,0.07865269093443075,0.25935385575732467
DCS_E5204.csv,18.08,0.06981209328435778,17.633333333333333,7.141042596532532,0.07865269093443075,0.06981209328427902
DCS_E5205.csv,7.15,0.8868529832687074,6.700000000000001,7.141042596532532,0.07865269093443075,0.8868529832677071
DCS_E5205.csv,7.93,1.669682152716695,7.483333333333334,7.141042596532532,0.07865269093443075,1.6696821527148116
DCS_E5205.csv,8.67,15.157837790058613,8.216666666666667,7.141042596532532,0.07865269093443075,15.157837790041516
DCS_E5205.csv,9.63,19.639947248478528,9.183333333333334,7.141042596532532,0.07865269093443075,19.639947248456377
DCS_E5205.csv,10.27,7.930230712003002,9.816666666666668,7.141042596532532,0.07865269093443075,7.930230711994057
DCS_E5205.csv,15.02,0.26230649624230334,14.566666666666668,7.141042596532532,0.07865269093443075,0.26230649624200747
DCS_E5205.csv,18.05,0.07435106083399602,17.600000000000005,7.141042596532532,0.07865269093443075,0.07435106083391214
DCS_E5206.csv,7.15,0.9485623384092515,6.700000000000001,7.141042596532532,0.07865269093443075,0.9485623384081817
DCS_E5206.csv,7.93,1.8187911930852203,7.483333333333334,7.141042596532532,0.07865269093443075,1.8187911930831686
DCS_E5206.csv,8.67,16.527171941319605,8.216666666669738,7.141042596532532,0.07865269093443075,16.527171941300963
DCS_E5206.csv,9.63,22.259097984626624,9.183333333333334,7.141042596532532,0.07865269093443075,22.25909798460152
DCS_E5206.csv,10.28,8.938387682339231,9.833333333333332,7.141042596532532,0.07865269093443075,8.938387682329148
DCS_E5206.csv,15.02,0.29693833291027744,14.566666666666668,7.141042596532532,0.07865269093443075,0.29693833290994254
