arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
ESTR13-1.csv,,,4,9.216667,Celobiose,8.810560,2.325527,0.517420
ESTR13-1.csv,,,5,10.050000,,,31.791265,
ESTR13-1.csv,,,6,11.350000,Glicose,10.936973,41.078868,10.041753
ESTR13-1.csv,,,7,12.133333,Xilose,11.723015,13.904649,4.407510
ESTR13-1.csv,,,8,17.850000,,,0.614231,
ESTR13-1.csv,,,9,21.866667,,,0.376400,
ESTR13-2.csv,,,1,6.983333,,,0.237476,
ESTR13-2.csv,,,2,7.816667,,,0.663508,
ESTR13-2.csv,,,3,8.283333,,,0.952899,
ESTR13-2.csv,,,4,9.216667,Celobiose,8.810560,2.359089,0.524757
ESTR13-2.csv,,,5,10.050000,,,32.525805,
ESTR13-2.csv,,,6,11.350000,Glicose,10.936973,41.914301,10.245416
ESTR13-2.csv,,,7,12.150000,Xilose,11.723015,14.318408,4.538325
ESTR13-2.csv,,,8,17.850000,,,0.625124,
ESTR13-2.csv,,,9,21.866667,,,0.381607,
ESTR13-3.csv,,,1,7.816667,,,0.637065,
ESTR13-3.csv,,,2,8.283333,,,0.943316,
ESTR13-3.csv,,,3,9.200000,Celobiose,8.810560,2.371781,0.527531
ESTR13-3.csv,,,4,10.050000,,,32.484420,
ESTR13-3.csv,,,5,11.333333,Glicose,10.936973,42.076991,10.285077
ESTR13-3.csv,,,6,12.133333,Xilose,11.723015,14.248579,4.516248
ESTR13-3.csv,,,7,17.833333,,,0.590458,
ESTR13-3.csv,,,8,21.866667,,,0.341207,
ESTR14-1.csv,,,1,6.983333,,,0.345690,
ESTR14-1.csv,,,2,8.283333,,,0.890344,
ESTR14-1.csv,,,3,9.216667,Celobiose,8.810560,2.498467,0.555225
ESTR14-1.csv,,,4,10.050000,,,35.222352,
ESTR14-1.csv,,,5,11.333333,Glicose,10.936973,51.481514,12.577730
ESTR14-1.csv,,,6,12.133333,Xilose,11.723015,16.842631,5.336386
ESTR14-1.csv,,,7,17.850000,,,0.737485,
ESTR14-1.csv,,,8,21.850000,,,0.357053,
ESTR14-2.csv,,,1,6.983333,,,0.200987,
ESTR14-2.csv,,,2,8.283333,,,0.873455,
ESTR14-2.csv,,,3,9.216667,Celobiose,8.810560,2.449945,0.544618
ESTR14-2.csv,,,4,10.050000,,,34.440320,
ESTR14-2.csv,,,5,11.350000,Glicose,10.936973,50.475999,12.332604
ESTR14-2.csv,,,6,12.133333,Xilose,11.723015,16.492222,5.225600
ESTR14-2.csv,,,7,17.850000,,,0.686874,
ESTR14-2.csv,,,8,21.866667,,,0.168905,
ESTR14-3.csv,,,1,6.983333,,,0.192784,
ESTR14-3.csv,,,2,7.816667,,,0.648124,
ESTR14-3.csv,,,3,8.283333,,,0.881892,
ESTR14-3.csv,,,4,9.216667,Celobiose,8.810560,2.505802,0.556828
ESTR14-3.csv,,,5,10.050000,,,35.236822,
ESTR14-3.csv,,,6,11.333333,Glicose,10.936973,51.648870,12.618528
ESTR14-3.csv,,,7,12.133333,Xilose,11.723015,16.844849,5.337087
ESTR14-3.csv,,,8,17.850000,,,0.694442,
ESTR14-3.csv,,,9,21.866667,,,0.172906,
ESTR2-1.csv,,,1,6.983333,,,0.357892,
ESTR2-1.csv,,,2,7.816667,,,0.639477,
ESTR2-1.csv,,,3,8.266667,,,1.092615,
ESTR2-1.csv,,,4,9.216667,Celobiose,8.810560,2.192650,0.488373
ESTR2-1.csv,,,5,10.050000,,,30.048283,
ESTR2-1.csv,,,6,11.333333,Glicose,10.936973,24.522542,6.005620
ESTR2-1.csv,,,7,12.150000,Xilose,11.723015,9.458388,3.001776
ESTR2-1.csv,,,8,17.833333,,,0.354016,
ESTR2-1.csv,,,9,21.866667,,,0.381659,
ESTR2-2.csv,,,1,7.816667,,,0.558402,
ESTR2-2.csv,,,2,8.283333,,,1.006379,
ESTR2-2.csv,,,3,9.216667,Celobiose,8.810560,2.015349,0.449615
ESTR2-2.csv,,,4,10.050000,,,28.316334,
ESTR2-2.csv,,,5,11.333333,Glicose,10.936973,20.826904,5.104690
ESTR2-2.csv,,,6,12.150000,Xilose,11.723015,8.106280,2.574292
ESTR2-2.csv,,,7,17.850000,,,0.276506,
ESTR2-2.csv,,,8,21.866667,,,0.382973,
ESTR2-3.csv,,,1,6.983333,,,0.078929,
ESTR2-3.csv,,,2,7.816667,,,0.650191,
ESTR2-3.csv,,,3,8.283333,,,1.104249,
ESTR2-3.csv,,,4,9.216667,Celobiose,8.810560,2.219294,0.494198
ESTR2-3.csv,,,5,10.050000,,,30.516899,
ESTR2-3.csv,,,6,11.333333,Glicose,10.936973,24.877503,6.092153
ESTR2-3.csv,,,7,12.150000,Xilose,11.723015,9.581061,3.040561
ESTR2-3.csv,,,8,17.833333,,,0.363156,
ESTR2-3.csv,,,9,21.883333,,,0.373918,
ESTR3-1.csv,,,1,7.816667,,,0.625455,
ESTR3-1.csv,,,2,8.283333,,,1.042800,
ESTR3-1.csv,,,3,9.216667,Celobiose,8.810560,2.156872,0.480552
ESTR3-1.csv,,,4,10.050000,,,29.963386,
ESTR3-1.csv,,,5,11.333333,Glicose,10.936973,27.544797,6.742391
ESTR3-1.csv,,,6,12.150000,Xilose,11.723015,10.397130,3.298570
ESTR3-1.csv,,,7,17.850000,,,0.400877,
ESTR3-1.csv,,,8,21.866667,,,0.367313,
ESTR3-2.csv,,,1,7.816667,,,0.641933,
ESTR3-2.csv,,,2,8.283333,,,1.062041,
ESTR3-2.csv,,,3,9.216667,Celobiose,8.810560,2.214072,0.493056
ESTR3-2.csv,,,4,10.050000,,,30.815861,
ESTR3-2.csv,,,5,11.333333,Glicose,10.936973,28.310526,6.929062
ESTR3-2.csv,,,6,12.150000,Xilose,11.723015,10.686550,3.390073
ESTR3-2.csv,,,7,17.850000,,,0.446238,
ESTR3-2.csv,,,8,21.883333,,,0.384687,
ESTR3-3.csv,,,1,7.816667,,,0.635488,
ESTR3-3.csv,,,2,8.283333,,,1.067221,
ESTR3-3.csv,,,3,9.216667,Celobiose,8.810560,2.222571,0.494914
ESTR3-3.csv,,,4,10.050000,,,30.927556,
ESTR3-3.csv,,,5,11.333333,Glicose,10.936973,28.440443,6.960733
ESTR3-3.csv,,,6,12.150000,Xilose,11.723015,10.754942,3.411696
ESTR3-3.csv,,,7,17.850000,,,0.436266,
ESTR3-3.csv,,,8,21.866667,,,0.364535,
ESTR4-1.csv,,,1,6.983333,,,0.313890,
ESTR4-1.csv,,,2,7.816667,,,0.618351,
ESTR4-1.csv,,,3,8.283333,,,1.003830,
ESTR4-1.csv,,,4,9.216667,Celobiose,8.810560,2.137918,0.476409
ESTR4-1.csv,,,5,10.050000,,,29.510801,
ESTR4-1.csv,,,6,11.333333,Glicose,10.936973,29.322792,7.175834
ESTR4-1.csv,,,7,12.133333,Xilose,11.723015,10.804982,3.427517
ESTR4-1.csv,,,8,17.833333,,,0.457372,
ESTR4-1.csv,,,9,21.866667,,,0.382388,
ESTR4-2.csv,,,1,7.816667,,,0.611933,
ESTR4-2.csv,,,2,8.283333,,,0.991152,
ESTR4-2.csv,,,3,9.216667,Celobiose,8.810560,2.134157,0.475587
ESTR4-2.csv,,,4,10.050000,,,29.645636,
ESTR4-2.csv,,,5,11.333333,Glicose,10.936973,29.465200,7.210551
ESTR4-2.csv,,,6,12.133333,Xilose,11.723015,10.852779,3.442628
ESTR4-2.csv,,,7,17.850000,,,0.460533,
ESTR4-2.csv,,,8,21.883333,,,0.377800,
ESTR4-3.csv,,,1,7.816667,,,0.613738,
ESTR4-3.csv,,,2,8.283333,,,0.995642,
ESTR4-3.csv,,,3,9.216667,Celobiose,8.810560,2.154024,0.479930
ESTR4-3.csv,,,4,10.050000,,,29.913889,
ESTR4-3.csv,,,5,11.333333,Glicose,10.936973,29.685026,7.264140
ESTR4-3.csv,,,6,12.133333,Xilose,11.723015,10.932205,3.467739
ESTR4-3.csv,,,7,17.833333,,,0.441785,
ESTR4-3.csv,,,8,21.866667,,,0.350208,
ESTR5-1.csv,,,1,7.816667,,,0.610306,
ESTR5-1.csv,,,2,8.283333,,,0.984766,
ESTR5-1.csv,,,3,9.216667,Celobiose,8.810560,2.174482,0.484402
ESTR5-1.csv,,,4,10.050000,,,29.989040,
ESTR5-1.csv,,,5,11.333333,Glicose,10.936973,31.304850,7.659024
ESTR5-1.csv,,,6,12.150000,Xilose,11.723015,11.436349,3.627130
ESTR5-1.csv,,,7,17.850000,,,0.474271,
ESTR5-1.csv,,,8,21.866667,,,0.395702,
ESTR5-2.csv,,,1,7.816667,,,0.636936,
ESTR5-2.csv,,,2,8.283333,,,1.020267,
ESTR5-2.csv,,,3,9.216667,Celobiose,8.810560,2.245095,0.499838
ESTR5-2.csv,,,4,10.050000,,,31.104376,
ESTR5-2.csv,,,5,11.350000,Glicose,10.936973,32.378717,7.920813
ESTR5-2.csv,,,6,12.150000,Xilose,11.723015,11.822992,3.749372
ESTR5-2.csv,,,7,17.850000,,,0.470242,
ESTR5-2.csv,,,8,21.883333,,,0.355375,
ESTR5-3.csv,,,1,7.816667,,,0.646320,
ESTR5-3.csv,,,2,8.283333,,,1.040165,
ESTR5-3.csv,,,3,9.216667,Celobiose,8.810560,2.289408,0.509524
ESTR5-3.csv,,,4,10.050000,,,31.682577,
ESTR5-3.csv,,,5,11.350000,Glicose,10.936973,33.048707,8.084145
ESTR5-3.csv,,,6,12.150000,Xilose,11.723015,12.050539,3.821313
ESTR5-3.csv,,,7,17.850000,,,0.478535,
ESTR5-3.csv,,,8,21.883333,,,0.352977,
ESTR6-1.csv,,,1,7.816667,,,0.633466,
ESTR6-1.csv,,,2,8.283333,,,0.993519,
ESTR6-1.csv,,,3,9.216667,Celobiose,8.810560,2.224846,0.495411
ESTR6-1.csv,,,4,10.050000,,,30.942901,
ESTR6-1.csv,,,5,11.350000,Glicose,10.936973,33.522570,8.199664
ESTR6-1.csv,,,6,12.150000,Xilose,11.723015,12.096056,3.835704
ESTR6-1.csv,,,7,17.850000,,,0.494329,
ESTR6-1.csv,,,8,21.883333,,,0.359547,
ESTR6-2.csv,,,1,7.816667,,,0.631315,
ESTR6-2.csv,,,2,8.283333,,,1.006169,
ESTR6-2.csv,,,3,9.216667,Celobiose,8.810560,2.255926,0.502205
ESTR6-2.csv,,,4,10.050000,,,31.354386,
ESTR6-2.csv,,,5,11.350000,Glicose,10.936973,34.072252,8.333666
ESTR6-2.csv,,,6,12.150000,Xilose,11.723015,12.269335,3.890488
