time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15
10.55,2.738298,1.2528380650469197,4.787932522483828e-23,0.0005942609646091062,2.3343939898100267e-44,7.748014522035012e-05,9.133689694578564e-47,3.7049895989202534e-05,1.3186048027201958e-10,0.00022799852894477593,1.2519012753802958,0.0,0.0,0.0,0.0,0.0,0.0
10.566666666666666,2.5276597,1.0273469736634024,4.2343657387254793e-23,0.0005893717177286519,1.8036746671782157e-44,7.540977293890618e-05,5.646888214995426e-47,3.449861152254281e-05,1.0447919504014625e-10,0.0001924042917819459,1.0264552891649512,0.0,0.0,0.0,0.0,0.0,0.0
10.583333333333334,2.3497872,0.8393135139365722,3.744728961176658e-23,0.0005845222957459621,1.3935559368892633e-44,7.339397753981105e-05,3.491180845212785e-47,3.2121896394246034e-05,8.275551268487983e-11,0.00016228946723789044,0.8384611862168987,0.0,0.0,0.0,0.0,0.0,0.0
10.6,2.1953192,0.6832559995276873,3.311647650892184e-23,0.0005797123793391436,1.07664575685915e-44,7.143134517653495e-05,2.1584188120113457e-47,2.990789537143782e-05,6.55266258925717e-11,0.00013682425687616955,0.6824381235853975,0.0,0.0,0.0,0.0,0.0,0.0
10.616666666666667,2.068936,0.5543182370370406,2.928596922903089e-23,0.0005749416516787964,8.317705951906736e-45,6.952049779021063e-05,1.334440772204011e-47,2.784555108605453e-05,5.1867367646527174e-11,0.0001153021027068694,0.5535306271819114,0.0,0.0,0.0,0.0,0.0,0.0
10.633333333333333,1.9612765,0.44824262879763865,2.5898037758986723e-23,0.0005702097984095388,6.425644149128078e-45,6.766009223258686e-05,8.250173849273685e-48,2.5924550928043326e-05,4.104193981864438e-11,9.712181193117478e-05,0.4474817125030954,0.0,0.0,0.0,0.0,0.0,0.0
10.65,1.8676596,0.361331012465313,2.2901605578406263e-23,0.0005655165076316449,4.963776637811805e-45,6.584881940945889e-05,5.100668601691939e-48,2.413527742487873e-05,3.2465383002117423e-11,8.177219866914723e-05,0.36059373962971253,0.0,0.0,0.0,0.0,0.0,0.0
10.666666666666666,1.792766,0.29039812927335124,2.0251483779951896e-23,0.0005608614698828102,3.834337324032957e-45,6.408540344414132e-05,3.153489021662912e-48,2.2468761882572194e-05,2.5672835667360528e-11,6.881890168142156e-05,0.2896818947107875,0.0,0.0,0.0,0.0,0.0,0.0
10.683333333333334,1.7319149,0.2327215068447794,1.79076932365378e-23,0.0005562443781200313,2.961767774998869e-45,6.236860086054372e-05,1.949645921539274e-48,2.091664107749493e-05,2.029501884296727e-11,5.789308089579702e-05,0.2320240841235305,0.0,0.0,0.0,0.0,0.0,0.0
10.7,1.6804255,0.18599058934837798,1.583486470687907e-23,0.0005516649277016143,2.287675195504196e-45,6.069719978542908e-05,1.2053699835490467e-48,1.9471116801645684e-05,1.60386941156433e-11,4.868173415716907e-05,0.18531007435389343,0.0,0.0,0.0,0.0,0.0,0.0
10.716666666666669,1.6429787,0.14825715022669939,1.400170792977711e-23,0.0005471228163692924,1.7669345752041627e-45,5.907001916943262e-05,7.452212012918211e-49,1.8124918076464567e-05,1.2671092758020394e-11,4.091940956874823e-05,0.14759191305084435,0.0,0.0,0.0,0.0,0.0,0.0
10.733333333333333,1.6102128,0.1178883733758045,1.2380541783813647e-23,0.0005426177442304748,1.3646754948672385e-45,5.748590802643818e-05,4.607339684235197e-49,1.6871265862026125e-05,1.0007514290780827e-11,3.4381118580298184e-05,0.11723701732909775,0.0,0.0,0.0,0.0,0.0,0.0
10.75,1.5868084,0.09352347405043858,1.0946878497838585e-23,0.000538149413740598,1.0539529099258067e-45,5.5943744690900114e-05,2.848495006639663e-49,1.5703840099429352e-05,7.90145348659242e-12,2.887628106068349e-05,0.09288480076294552,0.0,0.0,0.0,0.0,0.0,0.0
10.766666666666667,1.572766,0.0740343342558902,9.679055702346446e-24,0.0005337175296856133,8.139467302620629e-46,5.444243609272951e-05,1.7610873194076017e-49,1.4616748934538442e-05,6.2367435593955164e-12,2.424355638404676e-05,0.07340731397855653,0.0,0.0,0.0,0.0,0.0,0.0
10.783333333333331,1.5587233,0.05849033123964025,8.557910824292073e-24,0.0005293217991645796,6.285702047742869e-46,5.2980917049346465e-05,1.0887959916125928e-49,1.3604499980894188e-05,4.9213063581668266e-12,2.034643443914894e-05,0.05787407758408498,0.0,0.0,0.0,0.0,0.0,0.0
10.8,1.5587233,0.04612732454513225,7.566492958785118e-24,0.0005249619315723717,4.853943332532632e-46,5.155814957452442e-05,6.731507452049483e-50,1.2661973488708952e-05,3.88218287229033e-12,1.7069477781752457e-05,0.04552107300883271,0.0,0.0,0.0,0.0,0.0,0.0
10.816666666666666,1.5587233,0.0363206208308933,6.68980790965606e-24,0.0005206376385825183,3.748165731469699e-46,5.0173122203658206e-05,4.161772546426742e-50,1.1784397295374409e-05,3.061583334929642e-12,1.4315121197380591e-05,0.035723710548552785,0.0,0.0,0.0,0.0,0.0,0.0
10.833333333333334,1.5634042,0.028561641957081517,5.9145925854373106e-24,0.0005163486341301386,2.8941838256469396e-46,4.8824849335081404e-05,2.573028176058825e-50,1.0967323440889589e-05,2.4137489593051866e-12,1.2000948001590931e-05,0.027973500199760068,0.0,0.0,0.0,0.0,0.0,0.0
10.85,1.5774468,0.022437968352636225,5.2291153751584876e-24,0.000512094634395007,2.2346872453798654e-46,4.751237058708651e-05,1.5907829672040742e-50,1.0206606339117878e-05,1.902459493238047e-12,1.0057373722684064e-05,0.02185809736568987,0.0,0.0,0.0,0.0,0.0,0.0
10.866666666666667,1.5914893,0.01761640605995931,4.622999516000761e-24,0.0005078753577847255,1.7254038741365104e-46,4.623475017028935e-05,9.835071243747123e-51,9.498382402787625e-06,1.499054442931623e-12,8.425677605720676e-06,0.01704437189049673,0.0,0.0,0.0,0.0,0.0,0.0
10.883333333333333,1.6102128,0.013828723670106634,4.087066808051368e-24,0.0005036905249180129,1.332134991798168e-46,4.4991076274999e-05,6.080569745543857e-51,8.839051026739284e-06,1.1808626931173898e-12,7.056330840584073e-06,0.013264146685865437,0.0,0.0,0.0,0.0,0.0,0.0
10.9,1.633617,0.010859717882487064,3.6131993352260054e-24,0.0004995398586081066,1.0284642983656692e-46,4.37804604732534e-05,3.75933668663517e-51,8.225256840079203e-06,9.299566966875501e-13,5.90757772158829e-06,0.01030226472791408,0.0,0.0,0.0,0.0,0.0,0.0
10.916666666666666,1.6617022,0.008537288416429518,3.1942171204015424e-24,0.0004954230838462787,7.939877257665871e-47,4.260203713519414e-05,2.3242259969990024e-51,7.653873143681534e-06,7.321645121287089e-13,4.944232242723455e-06,0.007986665189329476,0.0,0.0,0.0,0.0,0.0,0.0
10.933333333333334,1.694468,0.00672423049910558,2.8237698809084926e-24,0.0004913399277854612,6.129457080058958e-47,4.145496285945303e-05,1.4369632711924302e-51,7.12198645488595e-06,5.762866039309838e-13,4.136658053651078e-06,0.0061801769633758425,0.0,0.0,0.0,0.0,0.0,0.0
10.95,1.7319149,0.005311483230024069,2.4962412613183636e-24,0.00048729011972398727,4.731664528920613e-47,4.033841591723807e-05,8.88409432320895e-52,6.626882086311102e-06,4.5347518813836806e-13,3.459904363441744e-06,0.004773767907479616,0.0,0.0,0.0,0.0,0.0,0.0
10.966666666666669,1.7693617,0.004212602711521404,2.2066641070451845e-24,0.0004832733910894381,3.652495316442419e-47,3.925159570980413e-05,5.492636170310564e-52,6.166030690446386e-06,3.567425611600316e-13,2.892974383641407e-06,0.0036810186994180034,1.9873328123605977e-11,0.0,0.0,0.0,0.0,0.0
10.983333333333333,1.8114893,0.0033596056572104565,1.9506455074517464e-24,0.0004792894754226099,2.8193515977991434e-47,3.819372223900925e-05,3.395851428590738e-52,5.737075706133316e-06,2.8057174179362423e-13,2.418206338609427e-06,0.002833619835598255,3.4734162526812527e-07,0.0,0.0,0.0,0.0,0.0
