time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16
28.016666666666666,0.004680851,0.019587148192734632,1.6199501940253323e-14,7.075877668428241e-14,0.0,1.2030721540383774e-80,2.9556631774412573e-93,1.2684840987297625e-69,4.095495115963303e-165,7.000370950423511e-132,3.5818995101729554e-98,4.286906420376084e-37,9.258538747471098e-52,2.8882563022731536e-23,7.441554621369515e-10,4.067448094569224e-05,0.01928903193450276,0.00025744103304376013
28.03333333333333,0.004680851,0.019629283847746874,1.5963200138731023e-14,6.980285750272452e-14,0.0,1.0198228591970037e-80,2.4285314492328314e-93,1.0910217277048877e-69,2.7979295657712355e-165,5.028427020369548e-132,2.7562662971247234e-98,3.7669607785489844e-37,7.453911869174171e-52,2.454814019782457e-23,6.687707033561871e-10,3.93456094429285e-05,0.019364125044524422,0.00022581252492305398
28.05,0.004680851,0.01967270827784731,1.5730345673879828e-14,6.885985534032278e-14,0.0,8.644825010147027e-81,1.995402477335133e-93,9.383844293030677e-70,1.911454163152685e-165,3.611931614830842e-132,2.1209232999609406e-98,3.3100510383075494e-37,6.000923130965518e-52,2.0863432114611005e-23,6.00978847840103e-10,3.806005881083435e-05,0.019436796020845058,0.00019785159712798074
28.066666666666663,0.004680851,0.019717060677881666,1.5500888247109784e-14,6.792959560986559e-14,0.0,7.328010284830518e-81,1.6395145297394376e-93,8.070997426427664e-70,1.3058333319890379e-165,2.5944372100247297e-132,1.6320173490396907e-98,2.9085383100499834e-37,4.831076377660144e-52,1.773116544565196e-23,5.400199127525671e-10,3.681642075216762e-05,0.019507077003790705,0.00017316671323544717
28.08333333333333,0.004680851,0.019762016553589834,1.527477829381716e-14,6.701190608451711e-14,0.0,6.211755248593173e-81,1.3470943776493415e-93,6.941808825329853e-70,8.920893797457419e-166,1.8635587749581227e-132,1.2558003702242314e-98,2.555709000336656e-37,3.8892136203503896e-52,1.5068612317329072e-23,4.852094594174495e-10,3.5613332582387214e-05,0.019574999839640093,0.00015140289607560846
28.1,0.004680851,0.019807285138135556,1.5051966972672387e-14,6.610661686589828e-14,0.0,5.265516833181889e-81,1.1068245193723805e-93,5.970588164330503e-70,6.09432697607793e-166,1.3385645424594775e-132,9.663011090393635e-99,2.245662781605126e-37,3.1309185636284627e-52,1.2805418083093915e-23,4.3593114115994185e-10,3.444947575973732e-05,0.01964059608085372,0.00013223914550979844
28.116666666666667,0.004680851,0.019852606849768594,1.4832406155064044e-14,6.5213560352597e-14,0.0,4.463402808736142e-81,9.0940537533559e-94,5.1352383978451325e-70,4.163321055625261e-166,9.614613664966795e-133,7.43533247315957e-99,1.973214119709959e-37,2.520425406967868e-52,1.0881753069367998e-23,3.9162998005347375e-10,3.332357446236538e-05,0.01970389698642531,0.00011538589717089256
28.133333333333333,0.004680851,0.019897750820038033,1.4616048414696665e-14,6.433257120910347e-14,0.0,3.7834636767192607e-81,7.471955266847886e-94,4.4167532158019245e-70,2.844139076165163e-166,6.905906051814275e-133,5.721163503457734e-99,1.7338057193008012e-37,2.028934626952121e-52,9.246740041933638e-24,3.5180630195398234e-10,3.223439421098176e-05,0.019764933522348045,0.00010058255159375516
28.15,0.004680851,0.019942512514952132,1.4402847017340964e-14,6.346348633516798e-14,0.0,3.2070923619731523e-81,6.139160867595938e-94,3.798784777295218e-70,1.942936183790206e-166,4.9602756016452914e-133,4.402145429426059e-99,1.5234324453363964e-37,1.6332565619485128e-52,7.857116317116612e-24,3.1601026597170025e-10,3.118074053562647e-05,0.019823736362187754,8.759509614061991e-05
28.166666666666668,0.004680851,0.019986711465494154,1.4192755910733022e-14,6.260614483557198e-14,0.0,2.7185152949860545e-81,5.0440777396249e-94,3.267271895103966e-70,1.327281466066644e-166,3.562765757082728e-133,3.387197185244894e-99,1.3385744533469952e-37,1.3147190197830474e-52,6.676095552695243e-24,2.8383693065748053e-10,3.0161457685137953e-05,0.01988033588775685,7.621383613843842e-05
28.183333333333334,0.004680851,0.020030189118852376,1.3985729714621838e-14,6.176038799030833e-14,0.0,2.304360972890286e-81,4.144312919573249e-94,2.8101202180036767e-70,9.067014622858614e-167,2.5589692052182664e-133,2.606229458321768e-99,1.1761384143140829e-37,1.0582875341174747e-52,5.672399456438898e-24,2.549218047276751e-10,2.9175427377973158e-05,0.019934762189882275,6.625124659457962e-05
28.2,0.004680851,0.020072806817511196,1.3781723710961083e-14,6.092605922516489e-14,0.0,1.9532942050640622e-81,3.405032974587009e-94,2.416927139712978e-70,6.193874486184356e-167,1.8379732429179955e-133,2.0053071503378794e-99,1.0334058547648242e-37,8.518568883932877e-53,4.8194340800046234e-24,2.2893683517124146e-10,2.8221567593063644e-05,0.019987045069261734,5.753995164485575e-05
28.216666666666665,0.004680851,0.020114443909881406,1.3580693834244629e-14,6.010300408270619e-14,0.0,1.6557060443492922e-81,2.797616118137791e-94,2.078745179997035e-70,4.2311389608443286e-167,1.3201085741603411e-133,1.542926530770866e-99,9.079877511257329e-38,6.856805762005102e-53,4.094589137382319e-24,2.055867901256623e-10,2.7298831399440943e-05,0.02003721403740231,4.993083541917779e-05
28.23333333333333,0.0,0.020154995993332776,1.3382596661983266e-14,5.929107019364747e-14,0.0,1.4034509268287492e-81,2.2985446329866196e-94,1.7878784579796947e-70,2.890340357891979e-167,9.481487310241466e-134,1.187150256189902e-99,7.977846215069866e-38,5.519113514708906e-53,3.478641997834299e-24,1.8460599801812422e-10,2.6406205823396274e-05,0.02008529831763641,4.3291285194294534e-05
28.25,0.0,0.02019437328824474,1.3187389405320046e-14,5.849010724861624e-14,0.0,1.1896238334226324e-81,1.8884947625438294e-94,1.537707629984562e-70,1.9744107215448506e-167,6.809882846986218e-134,9.13402595616981e-100,7.009514496298448e-38,4.442312453044369e-53,2.9552507365872665e-24,1.6575540818678097e-10,2.5542710751983622e-05,0.0201313268462099,3.750356545576918e-05
28.266666666666666,0.0,0.02023249913993434,1.2995029899782811e-14,5.769996697029545e-14,0.0,1.0083713804972284e-81,1.5515888678149317e-94,1.3225393113084179e-70,1.3487232235975075e-167,4.891017045578618e-134,7.027727399565119e-100,6.158668560837268e-38,3.575536337014034e-53,2.510522953282968e-24,1.4881994156010531e-10,2.4707397871711095e-05,0.02017532827343782,3.246331973417184e-05
