arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
E08163.csv,16,3,4,11.483333,Glicose,,12.780319,3.143078
E08163.csv,16,3,5,12.266667,Xilose,,5.472615,1.741630
E08163.csv,16,3,6,17.983333,,,0.264403,
E08163.csv,16,3,7,22.033333,,,0.135332,
E08171.csv,17,1,1,7.183333,,,0.237012,
E08171.csv,17,1,2,9.450000,,,0.536776,
E08171.csv,17,1,3,10.333333,,,42.521514,
E08171.csv,17,1,4,11.600000,Glicose,,13.488261,3.315662
E08171.csv,17,1,5,12.383333,,,5.711163,
E08171.csv,17,1,6,18.150000,,,0.263766,
E08171.csv,17,1,7,22.200000,,,0.120174,
E08172.csv,17,2,1,7.166667,,,0.303480,
E08172.csv,17,2,2,8.566667,,,0.371574,
E08172.csv,17,2,3,9.433333,,,0.551112,
E08172.csv,17,2,4,10.316667,,,43.741139,
E08172.csv,17,2,5,11.583333,Glicose,,13.852870,3.404547
E08172.csv,17,2,6,12.366667,,,5.889170,
E08172.csv,17,2,7,18.133333,,,0.269063,
E08172.csv,17,2,8,22.183333,,,0.129119,
E08173.csv,17,3,1,7.166667,,,0.325081,
E08173.csv,17,3,2,8.566667,,,0.384881,
E08173.csv,17,3,3,9.433333,,,0.568213,
E08173.csv,17,3,4,10.316667,,,44.554864,
E08173.csv,17,3,5,11.583333,Glicose,,14.140344,3.474628
E08173.csv,17,3,6,12.366667,,,6.007731,
E08173.csv,17,3,7,18.133333,,,0.276846,
E08173.csv,17,3,8,22.200000,,,0.107689,
E08181.csv,18,1,1,7.166667,,,0.144300,
E08181.csv,18,1,2,8.566667,,,0.378156,
E08181.csv,18,1,3,9.433333,,,0.549041,
E08181.csv,18,1,4,10.316667,,,42.901401,
E08181.csv,18,1,5,11.583333,Glicose,,13.778305,3.386369
E08181.csv,18,1,6,12.383333,,,5.830309,
E08181.csv,18,1,7,18.150000,,,0.286165,
E08181.csv,18,1,8,22.183333,,,0.131550,
E08182.csv,18,2,1,7.166667,,,0.115139,
E08182.csv,18,2,2,9.433333,,,0.554666,
E08182.csv,18,2,3,10.316667,,,44.459805,
E08182.csv,18,2,4,11.583333,Glicose,,14.200557,3.489306
E08182.csv,18,2,5,12.383333,,,6.011676,
E08182.csv,18,2,6,18.150000,,,0.267231,
E08182.csv,18,2,7,22.216667,,,0.112873,
E08183.csv,18,3,1,7.183333,,,0.363077,
E08183.csv,18,3,2,9.450000,,,0.548600,
E08183.csv,18,3,3,10.316667,,,43.185008,
E08183.csv,18,3,4,11.600000,Glicose,,13.819971,3.396526
E08183.csv,18,3,5,12.383333,,,5.840898,
E08183.csv,18,3,6,18.150000,,,0.278857,
E08183.csv,18,3,7,22.216667,,,0.126171,
E08191.csv,19,1,1,7.183333,,,0.345552,
E08191.csv,19,1,2,9.450000,,,0.519173,
E08191.csv,19,1,3,10.333333,,,44.103464,
E08191.csv,19,1,4,11.600000,Glicose,,13.360853,3.284602
E08191.csv,19,1,5,12.400000,,,5.626654,
E08191.csv,19,1,6,18.166667,,,0.241841,
E08191.csv,19,1,7,22.233333,,,0.102206,
E08192.csv,19,2,1,7.183333,,,0.185375,
E08192.csv,19,2,2,9.450000,,,0.542770,
E08192.csv,19,2,3,10.333333,,,44.926282,
E08192.csv,19,2,4,11.600000,Glicose,,13.576334,3.337132
E08192.csv,19,2,5,12.400000,,,5.724132,
E08192.csv,19,2,6,18.166667,,,0.251415,
E08192.csv,19,2,7,22.233333,,,0.103582,
E08193.csv,19,3,1,7.183333,,,0.275153,
E08193.csv,19,3,2,9.466667,,,0.544118,
E08193.csv,19,3,3,10.350000,,,45.659976,
E08193.csv,19,3,4,11.633333,,,13.832754,
E08193.csv,19,3,5,12.433333,,,5.811979,
E08193.csv,19,3,6,18.233333,,,0.255265,
E08193.csv,19,3,7,22.316667,,,0.091768,
E0821.csv,2,1,1,8.533333,,,0.279014,
E0821.csv,2,1,2,9.333333,Celobiose,,0.376380,0.091337
E0821.csv,2,1,3,10.200000,,,27.834415,
